symbol,aum,asset_group,category
SPY,650000000000.0,equity_broad,broad_us
IVV,600000000000.0,equity_broad,broad_us
VOO,590000000000.0,equity_broad,broad_us
VTI,500000000000.0,equity_broad,total_market
QQQ,330000000000.0,equity_broad,nasdaq_100
AGG,138847469568.0,unknown,unknown
XLK,70000000000.0,equity_sector,technology
IWM,70000000000.0,equity_broad,small_cap
GLD,60000000000.0,commodity,gold
TLT,50000000000.0,bond_treasury,long_treasury
XLF,45000000000.0,equity_sector,financials
XLV,40000000000.0,equity_sector,healthcare
XLE,35000000000.0,equity_sector,energy
ACWI,33203742720.0,unknown,unknown
IEF,30000000000.0,bond_treasury,intermediate_treasury
AVEM,26237122560.0,unknown,unknown
SMH,25000000000.0,equity_industry,semiconductor
AVDE,17163864064.0,unknown,unknown
BAI,15693548544.0,unknown,unknown
HYG,15000000000.0,bond_credit,high_yield
SOXX,15000000000.0,equity_industry,semiconductor
AVUS,13827512320.0,unknown,unknown
AMLP,12160584704.0,unknown,unknown
ACWX,11616678912.0,unknown,unknown
AIRR,11489859584.0,unknown,unknown
BBCA,10509565952.0,unknown,unknown
AIQ,10413852672.0,unknown,unknown
ARKK,6534055424.0,unknown,unknown
BBAX,6249870336.0,unknown,unknown
AIA,5221864448.0,unknown,unknown
AKRE,5185632256.0,unknown,unknown
AAXJ,3970623744.0,unknown,unknown
ARTY,3930527488.0,unknown,unknown
AOR,3667536128.0,unknown,unknown
ACWV,3240488448.0,unknown,unknown
AOA,3205894144.0,unknown,unknown
ANGL,3117964800.0,unknown,unknown
BALT,2567419904.0,unknown,unknown
APUE,2543153152.0,unknown,unknown
AAAU,2399851264.0,unknown,unknown
ACIO,2362386432.0,unknown,unknown
ARKQ,2214976768.0,unknown,unknown
AVIG,1928182784.0,unknown,unknown
ARKB,1885744768.0,unknown,unknown
AOM,1792574336.0,unknown,unknown
ARKG,1729676032.0,unknown,unknown
BAFE,1689542912.0,unknown,unknown
ARKW,1674919552.0,unknown,unknown
ASHR,1644587008.0,unknown,unknown
ALLW,1557451136.0,unknown,unknown
AVES,1471060736.0,unknown,unknown
APIE,1066065152.0,unknown,unknown
BAB,1043711488.0,unknown,unknown
AVGE,1039890752.0,unknown,unknown
BBAG,1031444352.0,unknown,unknown
AIS,969790784.0,unknown,unknown
AIPO,957962112.0,unknown,unknown
AGGY,951970112.0,unknown,unknown
APCB,939564160.0,unknown,unknown
ARKX,933603136.0,unknown,unknown
AUSF,846885376.0,unknown,unknown
AVRE,844656256.0,unknown,unknown
ARGT,842971264.0,unknown,unknown
AOK,812926144.0,unknown,unknown
AGIX,807395392.0,unknown,unknown
AMJB,805159552.0,unknown,unknown
AVTM,778806784.0,unknown,unknown
ARKF,724075136.0,unknown,unknown
AVNM,666446784.0,unknown,unknown
AVSF,663844032.0,unknown,unknown
AQEC,574481152.0,unknown,unknown
AGZ,555886400.0,unknown,unknown
ABFL,545103360.0,unknown,unknown
AGGH,526589568.0,unknown,unknown
AAUS,518264896.0,unknown,unknown
ACLO,510700256.0,unknown,unknown
AESR,505839360.0,unknown,unknown
AAEQ,497032864.0,unknown,unknown
BASG,493740256.0,unknown,unknown
AVSU,475819136.0,unknown,unknown
AVSD,475011488.0,unknown,unknown
AFIF,454740384.0,unknown,unknown
ALAI,451164832.0,unknown,unknown
AVXC,425943040.0,unknown,unknown
APLU,425065728.0,unknown,unknown
AIVL,416285568.0,unknown,unknown
BASV,408441600.0,unknown,unknown
AGOX,391365376.0,unknown,unknown
AVGV,390831424.0,unknown,unknown
AAUA,369815520.0,unknown,unknown
AGEM,361443744.0,unknown,unknown
AFOS,301053024.0,unknown,unknown
AAAA,292754432.0,unknown,unknown
ADME,290082784.0,unknown,unknown
AQLT,273890144.0,unknown,unknown
AVUQ,268573984.0,unknown,unknown
APMU,235150768.0,unknown,unknown
AVSE,228766416.0,unknown,unknown
ASLV,228150848.0,unknown,unknown
AFIX,217957472.0,unknown,unknown
AINP,217180352.0,unknown,unknown
ATFV,198297680.0,unknown,unknown
ADPV,190039808.0,unknown,unknown
BBBS,181136640.0,unknown,unknown
AVMU,169317184.0,unknown,unknown
BBBI,164650928.0,unknown,unknown
ACVF,153987472.0,unknown,unknown
AIFD,141635056.0,unknown,unknown
ABEQ,140559920.0,unknown,unknown
BAMG,139131216.0,unknown,unknown
AHLT,130554864.0,unknown,unknown
ACES,129431520.0,unknown,unknown
AIVC,126537248.0,unknown,unknown
BATT,125465216.0,unknown,unknown
AIEQ,122672952.0,unknown,unknown
AOHY,122256784.0,unknown,unknown
ASCE,117712848.0,unknown,unknown
AGZD,116217464.0,unknown,unknown
AGRW,115403648.0,unknown,unknown
ACSI,112898576.0,unknown,unknown
BAIV,107634504.0,unknown,unknown
AVOS,107474848.0,unknown,unknown
AOTG,105217664.0,unknown,unknown
ARB,104538432.0,unknown,unknown
AFK,99709000.0,unknown,unknown
BAMV,99513832.0,unknown,unknown
ACEP,97924440.0,unknown,unknown
ATTR,95786488.0,unknown,unknown
BAMD,94786056.0,unknown,unknown
ASEA,91529288.0,unknown,unknown
AGGA,88950992.0,unknown,unknown
AGNG,84506552.0,unknown,unknown
AVMA,74488880.0,unknown,unknown
AAPR,72408472.0,unknown,unknown
APOC,69793704.0,unknown,unknown
ARP,66215120.0,unknown,unknown
AMAX,64752308.0,unknown,unknown
AHYB,60118364.0,unknown,unknown
AVNV,59914472.0,unknown,unknown
BAMB,59024296.0,unknown,unknown
AIVI,58682620.0,unknown,unknown
AVRY,58111900.0,unknown,unknown
AJUL,57081952.0,unknown,unknown
ABI,56523888.0,unknown,unknown
ASIA,55972552.0,unknown,unknown
AGQI,55727992.0,unknown,unknown
ADIV,53560088.0,unknown,unknown
BBC,52678624.0,unknown,unknown
ADFI,51219832.0,unknown,unknown
BAMA,50878088.0,unknown,unknown
AOCT,49259864.0,unknown,unknown
BAMO,47253968.0,unknown,unknown
ALTY,45543800.0,unknown,unknown
AAA,44906492.0,unknown,unknown
BAMY,44784788.0,unknown,unknown
AJAN,44707672.0,unknown,unknown
AADR,41715124.0,unknown,unknown
AUGZ,41014248.0,unknown,unknown
AGGS,38768324.0,unknown,unknown
AZTD,37291072.0,unknown,unknown
APRZ,32695540.0,unknown,unknown
ACVT,32391296.0,unknown,unknown
ASMF,30838410.0,unknown,unknown
AAAP,25727358.0,unknown,unknown
AAVM,25277144.0,unknown,unknown
AUMI,24714584.0,unknown,unknown
AWAY,24527872.0,unknown,unknown
AQWA,23876834.0,unknown,unknown
AVGB,20456516.0,unknown,unknown
ASEC,20056212.0,unknown,unknown
AMZP,19866076.0,unknown,unknown
ARWG,13927999.0,unknown,unknown
AVIE,10408607.0,unknown,unknown
AGMI,10405849.0,unknown,unknown
AMYY,9184484.0,unknown,unknown
ADVE,9129768.0,unknown,unknown
ASGM,8608038.0,unknown,unknown
AGRH,7886807.0,unknown,unknown
ANEW,7731381.0,unknown,unknown
ARMH,7541791.0,unknown,unknown
ALRG,7469614.0,unknown,unknown
BBB,7224550.0,unknown,unknown
BBBL,7201175.0,unknown,unknown
ASMH,6782466.0,unknown,unknown
AEMS,6298948.0,unknown,unknown
AAPY,6160460.0,unknown,unknown
ARMY,5614615.0,unknown,unknown
AETH,4390423.0,unknown,unknown
AZYY,3202825.0,unknown,unknown
AKAF,2835201.0,unknown,unknown
ARVR,2818409.0,unknown,unknown
BAY,2048694.0,unknown,unknown
AMGR,1787578.0,unknown,unknown
AV,1448481.0,unknown,unknown
ASD,1351024.0,unknown,unknown
AIX,1010135.0,unknown,unknown
AAAC,,unknown,unknown
AAAD,,unknown,unknown
ABLD,,unknown,unknown
ABLG,,unknown,unknown
ABOT,,unknown,unknown
ABXB,,unknown,unknown
ACKY,,unknown,unknown
ACOM,,unknown,unknown
ACTS,,unknown,unknown
ADDS,,unknown,unknown
AFGR,,unknown,unknown
AGIQ,,unknown,unknown
AIQD,,unknown,unknown
AIQU,,unknown,unknown
AMEI,,unknown,unknown
AMEM,,unknown,unknown
AMHI,,unknown,unknown
AOTS,,unknown,unknown
AUAU,,unknown,unknown
BAVA,,unknown,unknown
BBCB,,unknown,unknown
BBEM,,unknown,unknown
BBEU,,unknown,unknown
BBH,,unknown,unknown
BBHY,,unknown,unknown
BBIB,,unknown,unknown
BBIN,,unknown,unknown
BBJP,,unknown,unknown
BBLB,,unknown,unknown
BBLU,,unknown,unknown
BBP,,unknown,unknown
BBRE,,unknown,unknown
BBSB,,unknown,unknown
BBUS,,unknown,unknown
BBYY,,unknown,unknown
BCD,,unknown,unknown
BCDF,,unknown,unknown
BCEM,,unknown,unknown
BCFN,,unknown,unknown
BCGD,,unknown,unknown
BCGS,,unknown,unknown
BCHI,,unknown,unknown
BCHP,,unknown,unknown
BCI,,unknown,unknown
BCKT,,unknown,unknown
BCLO,,unknown,unknown
BCOR,,unknown,unknown
BCPL,,unknown,unknown
BCTK,,unknown,unknown
BD,,unknown,unknown
BDBT,,unknown,unknown
BDIV,,unknown,unknown
BDRY,,unknown,unknown
BDVG,,unknown,unknown
BDYN,,unknown,unknown
BEDY,,unknown,unknown
BEDZ,,unknown,unknown
BEEX,,unknown,unknown
BEEZ,,unknown,unknown
BELT,,unknown,unknown
BEMB,,unknown,unknown
BENJ,,unknown,unknown
BESF,,unknown,unknown
BESO,,unknown,unknown
BETE,,unknown,unknown
BETZ,,unknown,unknown
BFIX,,unknown,unknown
BFLX,,unknown,unknown
BFOR,,unknown,unknown
BGCG,,unknown,unknown
BGDV,,unknown,unknown
BGEG,,unknown,unknown
BGGG,,unknown,unknown
BGIA,,unknown,unknown
BGIG,,unknown,unknown
BGRN,,unknown,unknown
BHDG,,unknown,unknown
BHYB,,unknown,unknown
BHYP,,unknown,unknown
BIBL,,unknown,unknown
BIDD,,unknown,unknown
BIL,,unknown,unknown
BILD,,unknown,unknown
BILS,,unknown,unknown
BILT,,unknown,unknown
BINC,,unknown,unknown
BINT,,unknown,unknown
BINV,,unknown,unknown
BIOY,,unknown,unknown
BITB,,unknown,unknown
BITC,,unknown,unknown
BITI,,unknown,unknown
BITO,,unknown,unknown
BITQ,,unknown,unknown
BITS,,unknown,unknown
BITW,,unknown,unknown
BITY,,unknown,unknown
BIV,,unknown,unknown
BIZD,,unknown,unknown
BKAG,,unknown,unknown
BKCG,,unknown,unknown
BKCH,,unknown,unknown
BKCI,,unknown,unknown
BKDV,,unknown,unknown
BKEM,,unknown,unknown
BKF,,unknown,unknown
BKFI,,unknown,unknown
BKGI,,unknown,unknown
BKHY,,unknown,unknown
BKIE,,unknown,unknown
BKLN,,unknown,unknown
BKMI,,unknown,unknown
BKMS,,unknown,unknown
BLCK,,unknown,unknown
BLCN,,unknown,unknown
BLDG,,unknown,unknown
BLDX,,unknown,unknown
BLES,,unknown,unknown
BLOK,,unknown,unknown
BLOX,,unknown,unknown
BLST,,unknown,unknown
BLTD,,unknown,unknown
BLUI,,unknown,unknown
BLUX,,unknown,unknown
BLV,,unknown,unknown
BMED,,unknown,unknown
BMOP,,unknown,unknown
BMVP,,unknown,unknown
BND,,unknown,unknown
BNDC,,unknown,unknown
BNDD,,unknown,unknown
BNDI,,unknown,unknown
BNDP,,unknown,unknown
BNDW,,unknown,unknown
BNDX,,unknown,unknown
BNDY,,unknown,unknown
BNGE,,unknown,unknown
BNO,,unknown,unknown
BOAT,,unknown,unknown
BOBP,,unknown,unknown
BOND,,unknown,unknown
BOTT,,unknown,unknown
BOTZ,,unknown,unknown
BOXA,,unknown,unknown
BOXX,,unknown,unknown
BPAY,,unknown,unknown
BPH,,unknown,unknown
BPRO,,unknown,unknown
BRAZ,,unknown,unknown
BRCE,,unknown,unknown
BREE,,unknown,unknown
BREM,,unknown,unknown
BRES,,unknown,unknown
BREW,,unknown,unknown
BRHY,,unknown,unknown
BRIB,,unknown,unknown
BRIE,,unknown,unknown
BRIF,,unknown,unknown
BRLN,,unknown,unknown
BRNY,,unknown,unknown
BRRR,,unknown,unknown
BRTR,,unknown,unknown
BSCA,,unknown,unknown
BSCQ,,unknown,unknown
BSCR,,unknown,unknown
BSCS,,unknown,unknown
BSCT,,unknown,unknown
BSCU,,unknown,unknown
BSCV,,unknown,unknown
BSCW,,unknown,unknown
BSCX,,unknown,unknown
BSCY,,unknown,unknown
BSCZ,,unknown,unknown
BSGR,,unknown,unknown
BSGT,,unknown,unknown
BSJQ,,unknown,unknown
BSJR,,unknown,unknown
BSJS,,unknown,unknown
BSJT,,unknown,unknown
BSJU,,unknown,unknown
BSJV,,unknown,unknown
BSJW,,unknown,unknown
BSJX,,unknown,unknown
BSJY,,unknown,unknown
BSMQ,,unknown,unknown
BSMR,,unknown,unknown
BSMS,,unknown,unknown
BSMT,,unknown,unknown
BSMU,,unknown,unknown
BSMV,,unknown,unknown
BSMW,,unknown,unknown
BSMY,,unknown,unknown
BSMZ,,unknown,unknown
BSOL,,unknown,unknown
BSR,,unknown,unknown
BSSX,,unknown,unknown
BSTS,,unknown,unknown
BSTU,,unknown,unknown
BSTV,,unknown,unknown
BSV,,unknown,unknown
BTAL,,unknown,unknown
BTC,,unknown,unknown
BTCI,,unknown,unknown
BTCK,,unknown,unknown
BTCO,,unknown,unknown
BTCW,,unknown,unknown
BTF,,unknown,unknown
BTGD,,unknown,unknown
BTOT,,unknown,unknown
BTR,,unknown,unknown
BTRN,,unknown,unknown
BUCK,,unknown,unknown
BUG,,unknown,unknown
BUL,,unknown,unknown
BULD,,unknown,unknown
BUSA,,unknown,unknown
BUXX,,unknown,unknown
BUYB,,unknown,unknown
BUYO,,unknown,unknown
BUYZ,,unknown,unknown
BUZZ,,unknown,unknown
BWET,,unknown,unknown
BWOW,,unknown,unknown
BWTG,,unknown,unknown
BWX,,unknown,unknown
BWZ,,unknown,unknown
BYLD,,unknown,unknown
BYRE,,unknown,unknown
BZZ,,unknown,unknown
CAAA,,unknown,unknown
CABZ,,unknown,unknown
CAFX,,unknown,unknown
CALI,,unknown,unknown
CAM,,unknown,unknown
CAMX,,unknown,unknown
CANC,,unknown,unknown
CANE,,unknown,unknown
CANQ,,unknown,unknown
CAOS,,unknown,unknown
CARK,,unknown,unknown
CARY,,unknown,unknown
CARZ,,unknown,unknown
CAS,,unknown,unknown
CATF,,unknown,unknown
CATH,,unknown,unknown
CBIL,,unknown,unknown
CBLS,,unknown,unknown
CBOA,,unknown,unknown
CBOJ,,unknown,unknown
CBOL,,unknown,unknown
CBON,,unknown,unknown
CBOO,,unknown,unknown
CBOT,,unknown,unknown
CBOX,,unknown,unknown
CBOY,,unknown,unknown
CBSE,,unknown,unknown
CBTA,,unknown,unknown
CBTJ,,unknown,unknown
CBTL,,unknown,unknown
CBTO,,unknown,unknown
CBTY,,unknown,unknown
CBXA,,unknown,unknown
CBXJ,,unknown,unknown
CBXL,,unknown,unknown
CBXO,,unknown,unknown
CBXY,,unknown,unknown
CCEF,,unknown,unknown
CCNR,,unknown,unknown
CCOM,,unknown,unknown
CCOR,,unknown,unknown
CCRP,,unknown,unknown
CCSB,,unknown,unknown
CCSO,,unknown,unknown
CDIG,,unknown,unknown
CDX,,unknown,unknown
CEF,,unknown,unknown
CEFA,,unknown,unknown
CEFS,,unknown,unknown
CEFZ,,unknown,unknown
CEMB,,unknown,unknown
CERY,,unknown,unknown
CEW,,unknown,unknown
CFIT,,unknown,unknown
CGOV,,unknown,unknown
CGRO,,unknown,unknown
CGV,,unknown,unknown
CGW,,unknown,unknown
CHAT,,unknown,unknown
CHGX,,unknown,unknown
CHIQ,,unknown,unknown
CHNL,,unknown,unknown
CHPS,,unknown,unknown
CHPX,,unknown,unknown
CHRI,,unknown,unknown
CHYG,,unknown,unknown
CIBR,,unknown,unknown
CIEI,,unknown,unknown
CIVG,,unknown,unknown
CLIM,,unknown,unknown
CLIP,,unknown,unknown
CLIX,,unknown,unknown
CLNK,,unknown,unknown
CLOA,,unknown,unknown
CLOB,,unknown,unknown
CLOC,,unknown,unknown
CLOD,,unknown,unknown
CLOI,,unknown,unknown
CLOO,,unknown,unknown
CLOU,,unknown,unknown
CLOX,,unknown,unknown
CLOZ,,unknown,unknown
CLSE,,unknown,unknown
CLSM,,unknown,unknown
CLUB,,unknown,unknown
CMAG,,unknown,unknown
CMBO,,unknown,unknown
CMBS,,unknown,unknown
CMCI,,unknown,unknown
CMDT,,unknown,unknown
CMDY,,unknown,unknown
CMF,,unknown,unknown
CNAV,,unknown,unknown
CNBS,,unknown,unknown
CNEQ,,unknown,unknown
CNQQ,,unknown,unknown
CNRG,,unknown,unknown
CNXT,,unknown,unknown
CNYA,,unknown,unknown
COAL,,unknown,unknown
COLO,,unknown,unknown
COM,,unknown,unknown
COMB,,unknown,unknown
COMD,,unknown,unknown
COMT,,unknown,unknown
COPA,,unknown,unknown
COPJ,,unknown,unknown
COPP,,unknown,unknown
COPX,,unknown,unknown
COPY,,unknown,unknown
CORB,,unknown,unknown
CORN,,unknown,unknown
CORO,,unknown,unknown
CORP,,unknown,unknown
COWS,,unknown,unknown
COWZ,,unknown,unknown
COYY,,unknown,unknown
CPAG,,unknown,unknown
CPAI,,unknown,unknown
CPER,,unknown,unknown
CPHY,,unknown,unknown
CPII,,unknown,unknown
CPLB,,unknown,unknown
CPLS,,unknown,unknown
CPNJ,,unknown,unknown
CPNM,,unknown,unknown
CPNQ,,unknown,unknown
CPNS,,unknown,unknown
CPRA,,unknown,unknown
CPRJ,,unknown,unknown
CPRO,,unknown,unknown
CPRY,,unknown,unknown
CPSA,,unknown,unknown
CPSD,,unknown,unknown
CPSF,,unknown,unknown
CPSJ,,unknown,unknown
CPSL,,unknown,unknown
CPSM,,unknown,unknown
CPSN,,unknown,unknown
CPSO,,unknown,unknown
CPSP,,unknown,unknown
CPSR,,unknown,unknown
CPST,,unknown,unknown
CPSU,,unknown,unknown
CPSY,,unknown,unknown
CQQQ,,unknown,unknown
CQTM,,unknown,unknown
CRAK,,unknown,unknown
CRBN,,unknown,unknown
CRDD,,unknown,unknown
CRDT,,unknown,unknown
CRED,,unknown,unknown
CRIB,,unknown,unknown
CRPT,,unknown,unknown
CRTC,,unknown,unknown
CRUX,,unknown,unknown
CRXP,,unknown,unknown
CRY,,unknown,unknown
CSD,,unknown,unknown
CSEN,,unknown,unknown
CSHI,,unknown,unknown
CSHP,,unknown,unknown
CSIO,,unknown,unknown
CSMD,,unknown,unknown
CSNR,,unknown,unknown
CSPF,,unknown,unknown
CSRE,,unknown,unknown
CSSD,,unknown,unknown
CSTK,,unknown,unknown
CTA,,unknown,unknown
CTAP,,unknown,unknown
CTEC,,unknown,unknown
CTEF,,unknown,unknown
CTEX,,unknown,unknown
CTIF,,unknown,unknown
CTWO,,unknown,unknown
CUST,,unknown,unknown
CUT,,unknown,unknown
CVAR,,unknown,unknown
CVGD,,unknown,unknown
CVIE,,unknown,unknown
CVRT,,unknown,unknown
CVY,,unknown,unknown
CWB,,unknown,unknown
CWI,,unknown,unknown
CWS,,unknown,unknown
CWY,,unknown,unknown
CXSE,,unknown,unknown
CZAR,,unknown,unknown
DABS,,unknown,unknown
DADS,,unknown,unknown
DAK,,unknown,unknown
DALI,,unknown,unknown
DAPP,,unknown,unknown
DARP,,unknown,unknown
DAT,,unknown,unknown
DAX,,unknown,unknown
DBA,,unknown,unknown
DBAW,,unknown,unknown
DBB,,unknown,unknown
DBC,,unknown,unknown
DBE,,unknown,unknown
DBEF,,unknown,unknown
DBEM,,unknown,unknown
DBEU,,unknown,unknown
DBEZ,,unknown,unknown
DBJP,,unknown,unknown
DBMF,,unknown,unknown
DBND,,unknown,unknown
DBO,,unknown,unknown
DBP,,unknown,unknown
DCMT,,unknown,unknown
DCOR,,unknown,unknown
DCRE,,unknown,unknown
DDIV,,unknown,unknown
DDV,,unknown,unknown
DDWM,,unknown,unknown
DDX,,unknown,unknown
DDXX,,unknown,unknown
DECO,,unknown,unknown
DECZ,,unknown,unknown
DEED,,unknown,unknown
DEEF,,unknown,unknown
DEEP,,unknown,unknown
DEFI,,unknown,unknown
DEFR,,unknown,unknown
DEHP,,unknown,unknown
DEM,,unknown,unknown
DESK,,unknown,unknown
DEUS,,unknown,unknown
DEW,,unknown,unknown
DEXC,,unknown,unknown
DFAC,,unknown,unknown
DFAE,,unknown,unknown
DFAI,,unknown,unknown
DFAR,,unknown,unknown
DFAT,,unknown,unknown
DFAU,,unknown,unknown
DFAW,,unknown,unknown
DFAX,,unknown,unknown
DFCA,,unknown,unknown
DFCF,,unknown,unknown
DFEM,,unknown,unknown
DFEV,,unknown,unknown
DFGP,,unknown,unknown
DFGR,,unknown,unknown
DFGX,,unknown,unknown
DFIC,,unknown,unknown
DFII,,unknown,unknown
DFIP,,unknown,unknown
DFIV,,unknown,unknown
DFNL,,unknown,unknown
DFNM,,unknown,unknown
DFSB,,unknown,unknown
DFSD,,unknown,unknown
DFSE,,unknown,unknown
DFSI,,unknown,unknown
DFSU,,unknown,unknown
DFTT,,unknown,unknown
DFUS,,unknown,unknown
DFUV,,unknown,unknown
DFVE,,unknown,unknown
DGCB,,unknown,unknown
DGIN,,unknown,unknown
DGLO,,unknown,unknown
DGRE,,unknown,unknown
DGRO,,unknown,unknown
DGRW,,unknown,unknown
DGT,,unknown,unknown
DHS,,unknown,unknown
DIA,,unknown,unknown
DIAL,,unknown,unknown
DIEM,,unknown,unknown
DIHP,,unknown,unknown
DIME,,unknown,unknown
DINT,,unknown,unknown
DIPR,,unknown,unknown
DISK,,unknown,unknown
DIV,,unknown,unknown
DIVB,,unknown,unknown
DIVD,,unknown,unknown
DIVE,,unknown,unknown
DIVG,,unknown,unknown
DIVI,,unknown,unknown
DIVL,,unknown,unknown
DIVN,,unknown,unknown
DIVO,,unknown,unknown
DIVP,,unknown,unknown
DIVS,,unknown,unknown
DIVY,,unknown,unknown
DIVZ,,unknown,unknown
DJD,,unknown,unknown
DMBS,,unknown,unknown
DMX,,unknown,unknown
DMXF,,unknown,unknown
DNL,,unknown,unknown
DOCK,,unknown,unknown
DOGG,,unknown,unknown
DOJE,,unknown,unknown
DOL,,unknown,unknown
DPRE,,unknown,unknown
DRAI,,unknown,unknown
DRAM,,unknown,unknown
DRES,,unknown,unknown
DRGN,,unknown,unknown
DRIV,,unknown,unknown
DRKY,,unknown,unknown
DRLL,,unknown,unknown
DRNZ,,unknown,unknown
DRSK,,unknown,unknown
DRUP,,unknown,unknown
DSCO,,unknown,unknown
DSI,,unknown,unknown
DSMC,,unknown,unknown
DSPY,,unknown,unknown
DSTL,,unknown,unknown
DSTX,,unknown,unknown
DTAN,,unknown,unknown
DTCR,,unknown,unknown
DTD,,unknown,unknown
DTEC,,unknown,unknown
DTH,,unknown,unknown
DTRE,,unknown,unknown
DUHP,,unknown,unknown
DUKH,,unknown,unknown
DUKQ,,unknown,unknown
DUKX,,unknown,unknown
DUKZ,,unknown,unknown
DUNK,,unknown,unknown
DURA,,unknown,unknown
DUSA,,unknown,unknown
DUTY,,unknown,unknown
DVDN,,unknown,unknown
DVGR,,unknown,unknown
DVLU,,unknown,unknown
DVND,,unknown,unknown
DVVY,,unknown,unknown
DVY,,unknown,unknown
DVYA,,unknown,unknown
DVYE,,unknown,unknown
DWLD,,unknown,unknown
DWM,,unknown,unknown
DWMF,,unknown,unknown
DWSH,,unknown,unknown
DWUS,,unknown,unknown
DWWN,,unknown,unknown
DWX,,unknown,unknown
DXIV,,unknown,unknown
DXJ,,unknown,unknown
DXUV,,unknown,unknown
DYFI,,unknown,unknown
DYLD,,unknown,unknown
DYNB,,unknown,unknown
DYNF,,unknown,unknown
DYTA,,unknown,unknown
EAFG,,unknown,unknown
EAGG,,unknown,unknown
EAOA,,unknown,unknown
EAOK,,unknown,unknown
EAOM,,unknown,unknown
EAOR,,unknown,unknown
EART,,unknown,unknown
EASG,,unknown,unknown
EASY,,unknown,unknown
EBI,,unknown,unknown
EBIZ,,unknown,unknown
EBND,,unknown,unknown
ECH,,unknown,unknown
ECML,,unknown,unknown
ECON,,unknown,unknown
ECOW,,unknown,unknown
EDEN,,unknown,unknown
EDGE,,unknown,unknown
EDGF,,unknown,unknown
EDGH,,unknown,unknown
EDGI,,unknown,unknown
EDGQ,,unknown,unknown
EDGU,,unknown,unknown
EDGX,,unknown,unknown
EDIV,,unknown,unknown
