strategy_key,strategy_label,signal_key,entry_key,exit_key,skip_reason,skipped
score_bo_l40_rm002_erp010__breakout_5d_after_signal__chandelier20_2_5atr,Score BO L40 R20>=-0.02 ER20>=0.10 / 5D breakout after signal / Chandelier20 2.5ATR,score_bo_l40_rm002_erp010,breakout_5d_after_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,17
score_bo_l40_rm002_erp010__first_signal__chandelier20_2_5atr,Score BO L40 R20>=-0.02 ER20>=0.10 / First signal / Chandelier20 2.5ATR,score_bo_l40_rm002_erp010,first_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,371
score_bo_l40_rm002_erp010__first_signal__low10,Score BO L40 R20>=-0.02 ER20>=0.10 / First signal / Low10 trailing,score_bo_l40_rm002_erp010,first_signal,low10,entry_open_at_or_below_initial_stop,39
score_bo_l40_rm002_erp010__first_signal__ma50,Score BO L40 R20>=-0.02 ER20>=0.10 / First signal / MA50 trailing,score_bo_l40_rm002_erp010,first_signal,ma50,entry_open_at_or_below_initial_stop,37
score_bo_l40_rm002_erp010__signal_2d_confirm__chandelier20_2_5atr,Score BO L40 R20>=-0.02 ER20>=0.10 / Signal 2D confirm / Chandelier20 2.5ATR,score_bo_l40_rm002_erp010,signal_2d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,143
score_bo_l40_rm002_erp010__signal_2d_confirm__low10,Score BO L40 R20>=-0.02 ER20>=0.10 / Signal 2D confirm / Low10 trailing,score_bo_l40_rm002_erp010,signal_2d_confirm,low10,entry_open_at_or_below_initial_stop,23
score_bo_l40_rm002_erp010__signal_2d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.10 / Signal 2D confirm / MA50 trailing,score_bo_l40_rm002_erp010,signal_2d_confirm,ma50,entry_open_at_or_below_initial_stop,3
score_bo_l40_rm002_erp010__signal_3d_confirm__chandelier20_2_5atr,Score BO L40 R20>=-0.02 ER20>=0.10 / Signal 3D confirm / Chandelier20 2.5ATR,score_bo_l40_rm002_erp010,signal_3d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,50
score_bo_l40_rm002_erp010__signal_3d_confirm__low10,Score BO L40 R20>=-0.02 ER20>=0.10 / Signal 3D confirm / Low10 trailing,score_bo_l40_rm002_erp010,signal_3d_confirm,low10,entry_open_at_or_below_initial_stop,8
score_bo_l40_rm002_erp010__signal_3d_confirm__low20,Score BO L40 R20>=-0.02 ER20>=0.10 / Signal 3D confirm / Low20 trailing,score_bo_l40_rm002_erp010,signal_3d_confirm,low20,entry_open_at_or_below_initial_stop,1
score_bo_l40_rm002_erp010__signal_3d_confirm__low20_minus_0_5atr,Score BO L40 R20>=-0.02 ER20>=0.10 / Signal 3D confirm / Low20 - 0.5ATR trailing,score_bo_l40_rm002_erp010,signal_3d_confirm,low20_minus_0_5atr,entry_open_at_or_below_initial_stop,1
score_bo_l40_rm002_erp010__signal_3d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.10 / Signal 3D confirm / MA50 trailing,score_bo_l40_rm002_erp010,signal_3d_confirm,ma50,entry_open_at_or_below_initial_stop,2
score_bo_l40_rm002_erp015__breakout_5d_after_signal__chandelier20_2_5atr,Score BO L40 R20>=-0.02 ER20>=0.15 / 5D breakout after signal / Chandelier20 2.5ATR,score_bo_l40_rm002_erp015,breakout_5d_after_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,8
score_bo_l40_rm002_erp015__first_signal__chandelier20_2_5atr,Score BO L40 R20>=-0.02 ER20>=0.15 / First signal / Chandelier20 2.5ATR,score_bo_l40_rm002_erp015,first_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,310
score_bo_l40_rm002_erp015__first_signal__low10,Score BO L40 R20>=-0.02 ER20>=0.15 / First signal / Low10 trailing,score_bo_l40_rm002_erp015,first_signal,low10,entry_open_at_or_below_initial_stop,27
score_bo_l40_rm002_erp015__first_signal__ma50,Score BO L40 R20>=-0.02 ER20>=0.15 / First signal / MA50 trailing,score_bo_l40_rm002_erp015,first_signal,ma50,entry_open_at_or_below_initial_stop,28
score_bo_l40_rm002_erp015__signal_2d_confirm__chandelier20_2_5atr,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 2D confirm / Chandelier20 2.5ATR,score_bo_l40_rm002_erp015,signal_2d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,112
score_bo_l40_rm002_erp015__signal_2d_confirm__low10,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 2D confirm / Low10 trailing,score_bo_l40_rm002_erp015,signal_2d_confirm,low10,entry_open_at_or_below_initial_stop,17
score_bo_l40_rm002_erp015__signal_2d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 2D confirm / MA50 trailing,score_bo_l40_rm002_erp015,signal_2d_confirm,ma50,entry_open_at_or_below_initial_stop,1
score_bo_l40_rm002_erp015__signal_3d_confirm__chandelier20_2_5atr,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 3D confirm / Chandelier20 2.5ATR,score_bo_l40_rm002_erp015,signal_3d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,31
score_bo_l40_rm002_erp015__signal_3d_confirm__low10,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 3D confirm / Low10 trailing,score_bo_l40_rm002_erp015,signal_3d_confirm,low10,entry_open_at_or_below_initial_stop,5
score_bo_l40_rm002_erp015__signal_3d_confirm__low20,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 3D confirm / Low20 trailing,score_bo_l40_rm002_erp015,signal_3d_confirm,low20,entry_open_at_or_below_initial_stop,1
score_bo_l40_rm002_erp015__signal_3d_confirm__low20_minus_0_5atr,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 3D confirm / Low20 - 0.5ATR trailing,score_bo_l40_rm002_erp015,signal_3d_confirm,low20_minus_0_5atr,entry_open_at_or_below_initial_stop,1
score_bo_l40_rm002_erp015__signal_3d_confirm__ma50,Score BO L40 R20>=-0.02 ER20>=0.15 / Signal 3D confirm / MA50 trailing,score_bo_l40_rm002_erp015,signal_3d_confirm,ma50,entry_open_at_or_below_initial_stop,1
score_bo_l40_rp000_erp005__breakout_5d_after_signal__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.05 / 5D breakout after signal / Chandelier20 2.5ATR,score_bo_l40_rp000_erp005,breakout_5d_after_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,19
score_bo_l40_rp000_erp005__first_signal__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.05 / First signal / Chandelier20 2.5ATR,score_bo_l40_rp000_erp005,first_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,464
score_bo_l40_rp000_erp005__first_signal__low10,Score BO L40 R20>=0.00 ER20>=0.05 / First signal / Low10 trailing,score_bo_l40_rp000_erp005,first_signal,low10,entry_open_at_or_below_initial_stop,45
score_bo_l40_rp000_erp005__first_signal__low20,Score BO L40 R20>=0.00 ER20>=0.05 / First signal / Low20 trailing,score_bo_l40_rp000_erp005,first_signal,low20,entry_open_at_or_below_initial_stop,2
score_bo_l40_rp000_erp005__first_signal__low20_minus_0_5atr,Score BO L40 R20>=0.00 ER20>=0.05 / First signal / Low20 - 0.5ATR trailing,score_bo_l40_rp000_erp005,first_signal,low20_minus_0_5atr,entry_open_at_or_below_initial_stop,1
score_bo_l40_rp000_erp005__first_signal__ma50,Score BO L40 R20>=0.00 ER20>=0.05 / First signal / MA50 trailing,score_bo_l40_rp000_erp005,first_signal,ma50,entry_open_at_or_below_initial_stop,50
score_bo_l40_rp000_erp005__signal_2d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.05 / Signal 2D confirm / Chandelier20 2.5ATR,score_bo_l40_rp000_erp005,signal_2d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,188
score_bo_l40_rp000_erp005__signal_2d_confirm__low10,Score BO L40 R20>=0.00 ER20>=0.05 / Signal 2D confirm / Low10 trailing,score_bo_l40_rp000_erp005,signal_2d_confirm,low10,entry_open_at_or_below_initial_stop,26
score_bo_l40_rp000_erp005__signal_2d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.05 / Signal 2D confirm / MA50 trailing,score_bo_l40_rp000_erp005,signal_2d_confirm,ma50,entry_open_at_or_below_initial_stop,8
score_bo_l40_rp000_erp005__signal_3d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.05 / Signal 3D confirm / Chandelier20 2.5ATR,score_bo_l40_rp000_erp005,signal_3d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,79
score_bo_l40_rp000_erp005__signal_3d_confirm__low10,Score BO L40 R20>=0.00 ER20>=0.05 / Signal 3D confirm / Low10 trailing,score_bo_l40_rp000_erp005,signal_3d_confirm,low10,entry_open_at_or_below_initial_stop,22
score_bo_l40_rp000_erp005__signal_3d_confirm__low20,Score BO L40 R20>=0.00 ER20>=0.05 / Signal 3D confirm / Low20 trailing,score_bo_l40_rp000_erp005,signal_3d_confirm,low20,entry_open_at_or_below_initial_stop,1
score_bo_l40_rp000_erp005__signal_3d_confirm__low20_minus_0_5atr,Score BO L40 R20>=0.00 ER20>=0.05 / Signal 3D confirm / Low20 - 0.5ATR trailing,score_bo_l40_rp000_erp005,signal_3d_confirm,low20_minus_0_5atr,entry_open_at_or_below_initial_stop,1
score_bo_l40_rp000_erp005__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.05 / Signal 3D confirm / MA50 trailing,score_bo_l40_rp000_erp005,signal_3d_confirm,ma50,entry_open_at_or_below_initial_stop,3
score_bo_l40_rp000_erp010__breakout_5d_after_signal__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.10 / 5D breakout after signal / Chandelier20 2.5ATR,score_bo_l40_rp000_erp010,breakout_5d_after_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,17
score_bo_l40_rp000_erp010__first_signal__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.10 / First signal / Chandelier20 2.5ATR,score_bo_l40_rp000_erp010,first_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,371
score_bo_l40_rp000_erp010__first_signal__low10,Score BO L40 R20>=0.00 ER20>=0.10 / First signal / Low10 trailing,score_bo_l40_rp000_erp010,first_signal,low10,entry_open_at_or_below_initial_stop,39
score_bo_l40_rp000_erp010__first_signal__ma50,Score BO L40 R20>=0.00 ER20>=0.10 / First signal / MA50 trailing,score_bo_l40_rp000_erp010,first_signal,ma50,entry_open_at_or_below_initial_stop,37
score_bo_l40_rp000_erp010__signal_2d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.10 / Signal 2D confirm / Chandelier20 2.5ATR,score_bo_l40_rp000_erp010,signal_2d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,143
score_bo_l40_rp000_erp010__signal_2d_confirm__low10,Score BO L40 R20>=0.00 ER20>=0.10 / Signal 2D confirm / Low10 trailing,score_bo_l40_rp000_erp010,signal_2d_confirm,low10,entry_open_at_or_below_initial_stop,23
score_bo_l40_rp000_erp010__signal_2d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.10 / Signal 2D confirm / MA50 trailing,score_bo_l40_rp000_erp010,signal_2d_confirm,ma50,entry_open_at_or_below_initial_stop,3
score_bo_l40_rp000_erp010__signal_3d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.10 / Signal 3D confirm / Chandelier20 2.5ATR,score_bo_l40_rp000_erp010,signal_3d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,50
score_bo_l40_rp000_erp010__signal_3d_confirm__low10,Score BO L40 R20>=0.00 ER20>=0.10 / Signal 3D confirm / Low10 trailing,score_bo_l40_rp000_erp010,signal_3d_confirm,low10,entry_open_at_or_below_initial_stop,8
score_bo_l40_rp000_erp010__signal_3d_confirm__low20,Score BO L40 R20>=0.00 ER20>=0.10 / Signal 3D confirm / Low20 trailing,score_bo_l40_rp000_erp010,signal_3d_confirm,low20,entry_open_at_or_below_initial_stop,1
score_bo_l40_rp000_erp010__signal_3d_confirm__low20_minus_0_5atr,Score BO L40 R20>=0.00 ER20>=0.10 / Signal 3D confirm / Low20 - 0.5ATR trailing,score_bo_l40_rp000_erp010,signal_3d_confirm,low20_minus_0_5atr,entry_open_at_or_below_initial_stop,1
score_bo_l40_rp000_erp010__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.10 / Signal 3D confirm / MA50 trailing,score_bo_l40_rp000_erp010,signal_3d_confirm,ma50,entry_open_at_or_below_initial_stop,2
score_bo_l40_rp000_erp015__breakout_5d_after_signal__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.15 / 5D breakout after signal / Chandelier20 2.5ATR,score_bo_l40_rp000_erp015,breakout_5d_after_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,8
score_bo_l40_rp000_erp015__first_signal__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.15 / First signal / Chandelier20 2.5ATR,score_bo_l40_rp000_erp015,first_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,310
score_bo_l40_rp000_erp015__first_signal__low10,Score BO L40 R20>=0.00 ER20>=0.15 / First signal / Low10 trailing,score_bo_l40_rp000_erp015,first_signal,low10,entry_open_at_or_below_initial_stop,27
score_bo_l40_rp000_erp015__first_signal__ma50,Score BO L40 R20>=0.00 ER20>=0.15 / First signal / MA50 trailing,score_bo_l40_rp000_erp015,first_signal,ma50,entry_open_at_or_below_initial_stop,28
score_bo_l40_rp000_erp015__signal_2d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 2D confirm / Chandelier20 2.5ATR,score_bo_l40_rp000_erp015,signal_2d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,112
score_bo_l40_rp000_erp015__signal_2d_confirm__low10,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 2D confirm / Low10 trailing,score_bo_l40_rp000_erp015,signal_2d_confirm,low10,entry_open_at_or_below_initial_stop,17
score_bo_l40_rp000_erp015__signal_2d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 2D confirm / MA50 trailing,score_bo_l40_rp000_erp015,signal_2d_confirm,ma50,entry_open_at_or_below_initial_stop,1
score_bo_l40_rp000_erp015__signal_3d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 3D confirm / Chandelier20 2.5ATR,score_bo_l40_rp000_erp015,signal_3d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,31
score_bo_l40_rp000_erp015__signal_3d_confirm__low10,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 3D confirm / Low10 trailing,score_bo_l40_rp000_erp015,signal_3d_confirm,low10,entry_open_at_or_below_initial_stop,5
score_bo_l40_rp000_erp015__signal_3d_confirm__low20,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 3D confirm / Low20 trailing,score_bo_l40_rp000_erp015,signal_3d_confirm,low20,entry_open_at_or_below_initial_stop,1
score_bo_l40_rp000_erp015__signal_3d_confirm__low20_minus_0_5atr,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 3D confirm / Low20 - 0.5ATR trailing,score_bo_l40_rp000_erp015,signal_3d_confirm,low20_minus_0_5atr,entry_open_at_or_below_initial_stop,1
score_bo_l40_rp000_erp015__signal_3d_confirm__ma50,Score BO L40 R20>=0.00 ER20>=0.15 / Signal 3D confirm / MA50 trailing,score_bo_l40_rp000_erp015,signal_3d_confirm,ma50,entry_open_at_or_below_initial_stop,1
score_bo_l40_rp002_erp005__breakout_5d_after_signal__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.05 / 5D breakout after signal / Chandelier20 2.5ATR,score_bo_l40_rp002_erp005,breakout_5d_after_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,4
score_bo_l40_rp002_erp005__first_signal__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.05 / First signal / Chandelier20 2.5ATR,score_bo_l40_rp002_erp005,first_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,287
score_bo_l40_rp002_erp005__first_signal__low10,Score BO L40 R20>=0.02 ER20>=0.05 / First signal / Low10 trailing,score_bo_l40_rp002_erp005,first_signal,low10,entry_open_at_or_below_initial_stop,20
score_bo_l40_rp002_erp005__first_signal__ma50,Score BO L40 R20>=0.02 ER20>=0.05 / First signal / MA50 trailing,score_bo_l40_rp002_erp005,first_signal,ma50,entry_open_at_or_below_initial_stop,26
score_bo_l40_rp002_erp005__signal_2d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.05 / Signal 2D confirm / Chandelier20 2.5ATR,score_bo_l40_rp002_erp005,signal_2d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,98
score_bo_l40_rp002_erp005__signal_2d_confirm__low10,Score BO L40 R20>=0.02 ER20>=0.05 / Signal 2D confirm / Low10 trailing,score_bo_l40_rp002_erp005,signal_2d_confirm,low10,entry_open_at_or_below_initial_stop,16
score_bo_l40_rp002_erp005__signal_2d_confirm__ma50,Score BO L40 R20>=0.02 ER20>=0.05 / Signal 2D confirm / MA50 trailing,score_bo_l40_rp002_erp005,signal_2d_confirm,ma50,entry_open_at_or_below_initial_stop,3
score_bo_l40_rp002_erp005__signal_3d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.05 / Signal 3D confirm / Chandelier20 2.5ATR,score_bo_l40_rp002_erp005,signal_3d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,35
score_bo_l40_rp002_erp005__signal_3d_confirm__low10,Score BO L40 R20>=0.02 ER20>=0.05 / Signal 3D confirm / Low10 trailing,score_bo_l40_rp002_erp005,signal_3d_confirm,low10,entry_open_at_or_below_initial_stop,3
score_bo_l40_rp002_erp010__breakout_5d_after_signal__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.10 / 5D breakout after signal / Chandelier20 2.5ATR,score_bo_l40_rp002_erp010,breakout_5d_after_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,3
score_bo_l40_rp002_erp010__first_signal__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.10 / First signal / Chandelier20 2.5ATR,score_bo_l40_rp002_erp010,first_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,282
score_bo_l40_rp002_erp010__first_signal__low10,Score BO L40 R20>=0.02 ER20>=0.10 / First signal / Low10 trailing,score_bo_l40_rp002_erp010,first_signal,low10,entry_open_at_or_below_initial_stop,20
score_bo_l40_rp002_erp010__first_signal__ma50,Score BO L40 R20>=0.02 ER20>=0.10 / First signal / MA50 trailing,score_bo_l40_rp002_erp010,first_signal,ma50,entry_open_at_or_below_initial_stop,23
score_bo_l40_rp002_erp010__signal_2d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.10 / Signal 2D confirm / Chandelier20 2.5ATR,score_bo_l40_rp002_erp010,signal_2d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,93
score_bo_l40_rp002_erp010__signal_2d_confirm__low10,Score BO L40 R20>=0.02 ER20>=0.10 / Signal 2D confirm / Low10 trailing,score_bo_l40_rp002_erp010,signal_2d_confirm,low10,entry_open_at_or_below_initial_stop,16
score_bo_l40_rp002_erp010__signal_2d_confirm__ma50,Score BO L40 R20>=0.02 ER20>=0.10 / Signal 2D confirm / MA50 trailing,score_bo_l40_rp002_erp010,signal_2d_confirm,ma50,entry_open_at_or_below_initial_stop,3
score_bo_l40_rp002_erp010__signal_3d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.10 / Signal 3D confirm / Chandelier20 2.5ATR,score_bo_l40_rp002_erp010,signal_3d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,33
score_bo_l40_rp002_erp010__signal_3d_confirm__low10,Score BO L40 R20>=0.02 ER20>=0.10 / Signal 3D confirm / Low10 trailing,score_bo_l40_rp002_erp010,signal_3d_confirm,low10,entry_open_at_or_below_initial_stop,3
score_bo_l40_rp002_erp015__breakout_5d_after_signal__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.15 / 5D breakout after signal / Chandelier20 2.5ATR,score_bo_l40_rp002_erp015,breakout_5d_after_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,2
score_bo_l40_rp002_erp015__first_signal__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.15 / First signal / Chandelier20 2.5ATR,score_bo_l40_rp002_erp015,first_signal,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,249
score_bo_l40_rp002_erp015__first_signal__low10,Score BO L40 R20>=0.02 ER20>=0.15 / First signal / Low10 trailing,score_bo_l40_rp002_erp015,first_signal,low10,entry_open_at_or_below_initial_stop,19
score_bo_l40_rp002_erp015__first_signal__ma50,Score BO L40 R20>=0.02 ER20>=0.15 / First signal / MA50 trailing,score_bo_l40_rp002_erp015,first_signal,ma50,entry_open_at_or_below_initial_stop,22
score_bo_l40_rp002_erp015__signal_2d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.15 / Signal 2D confirm / Chandelier20 2.5ATR,score_bo_l40_rp002_erp015,signal_2d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,80
score_bo_l40_rp002_erp015__signal_2d_confirm__low10,Score BO L40 R20>=0.02 ER20>=0.15 / Signal 2D confirm / Low10 trailing,score_bo_l40_rp002_erp015,signal_2d_confirm,low10,entry_open_at_or_below_initial_stop,15
score_bo_l40_rp002_erp015__signal_3d_confirm__chandelier20_2_5atr,Score BO L40 R20>=0.02 ER20>=0.15 / Signal 3D confirm / Chandelier20 2.5ATR,score_bo_l40_rp002_erp015,signal_3d_confirm,chandelier20_2_5atr,entry_open_at_or_below_initial_stop,20
score_bo_l40_rp002_erp015__signal_3d_confirm__low10,Score BO L40 R20>=0.02 ER20>=0.15 / Signal 3D confirm / Low10 trailing,score_bo_l40_rp002_erp015,signal_3d_confirm,low10,entry_open_at_or_below_initial_stop,2
