definition,definition_label,annual_min_completed_trades,pass_ratio_threshold,eligible_years_per_strategy,minimum_passing_years,base_candidate_count,passing_strategy_count,passing_share_of_base,effective_unique_result_count,behaviorally_redundant_count,parameter_gate_pass_count,loyo_ge_0_75_count,loyo_ge_0_80_count,loyo_eq_1_count,time_parameter_loyo_ge_0_80_count,exit_rule_distribution,entry_rule_distribution,score_lookback_distribution,r20_min_distribution,er20_min_distribution,largest_single_axis_share,parameter_concentration
A,Average edge: annual avg_trade_return > 0,100,0.5,8,4,368,368,1.0,244,124,361,337,313,270,313,"{""Low10 trailing"":44,""Low20 - 0.5ATR trailing"":108,""Low20 trailing"":108,""MA50 trailing"":108}","{""5D breakout after signal"":89,""First signal"":99,""Signal 2D confirm"":99,""Signal 3D confirm"":81}","{""10"":128,""20"":132,""40"":108}","{""-0.02"":124,""0.0"":124,""0.02"":120}","{""0.05"":124,""0.1"":122,""0.15"":122}",0.358695652173913,broad
A,Average edge: annual avg_trade_return > 0,100,0.6,8,5,368,61,0.16576086956521738,38,23,56,48,42,24,42,"{""Low10 trailing"":34,""Low20 - 0.5ATR trailing"":9,""Low20 trailing"":9,""MA50 trailing"":9}","{""5D breakout after signal"":6,""First signal"":15,""Signal 2D confirm"":13,""Signal 3D confirm"":27}","{""10"":10,""20"":24,""40"":27}","{""-0.02"":23,""0.0"":23,""0.02"":15}","{""0.05"":21,""0.1"":21,""0.15"":19}",0.5573770491803278,moderate
A,Average edge: annual avg_trade_return > 0,100,0.7,8,6,368,4,0.010869565217391304,2,2,3,2,0,0,0,"{""Low10 trailing"":4}","{""5D breakout after signal"":2,""Signal 2D confirm"":2}","{""20"":4}","{""-0.02"":2,""0.0"":2}","{""0.05"":2,""0.15"":2}",1.0,very_narrow
A,Average edge: annual avg_trade_return > 0,100,0.75,8,6,368,4,0.010869565217391304,2,2,3,2,0,0,0,"{""Low10 trailing"":4}","{""5D breakout after signal"":2,""Signal 2D confirm"":2}","{""20"":4}","{""-0.02"":2,""0.0"":2}","{""0.05"":2,""0.15"":2}",1.0,very_narrow
B,Profit-factor edge: annual profit_factor > 1.0,100,0.5,8,4,368,368,1.0,244,124,361,337,313,270,313,"{""Low10 trailing"":44,""Low20 - 0.5ATR trailing"":108,""Low20 trailing"":108,""MA50 trailing"":108}","{""5D breakout after signal"":89,""First signal"":99,""Signal 2D confirm"":99,""Signal 3D confirm"":81}","{""10"":128,""20"":132,""40"":108}","{""-0.02"":124,""0.0"":124,""0.02"":120}","{""0.05"":124,""0.1"":122,""0.15"":122}",0.358695652173913,broad
B,Profit-factor edge: annual profit_factor > 1.0,100,0.6,8,5,368,61,0.16576086956521738,38,23,56,48,42,24,42,"{""Low10 trailing"":34,""Low20 - 0.5ATR trailing"":9,""Low20 trailing"":9,""MA50 trailing"":9}","{""5D breakout after signal"":6,""First signal"":15,""Signal 2D confirm"":13,""Signal 3D confirm"":27}","{""10"":10,""20"":24,""40"":27}","{""-0.02"":23,""0.0"":23,""0.02"":15}","{""0.05"":21,""0.1"":21,""0.15"":19}",0.5573770491803278,moderate
B,Profit-factor edge: annual profit_factor > 1.0,100,0.7,8,6,368,4,0.010869565217391304,2,2,3,2,0,0,0,"{""Low10 trailing"":4}","{""5D breakout after signal"":2,""Signal 2D confirm"":2}","{""20"":4}","{""-0.02"":2,""0.0"":2}","{""0.05"":2,""0.15"":2}",1.0,very_narrow
B,Profit-factor edge: annual profit_factor > 1.0,100,0.75,8,6,368,4,0.010869565217391304,2,2,3,2,0,0,0,"{""Low10 trailing"":4}","{""5D breakout after signal"":2,""Signal 2D confirm"":2}","{""20"":4}","{""-0.02"":2,""0.0"":2}","{""0.05"":2,""0.15"":2}",1.0,very_narrow
C,Joint edge: annual avg_trade_return > 0 and profit_factor > 1.0,100,0.5,8,4,368,368,1.0,244,124,361,337,313,270,313,"{""Low10 trailing"":44,""Low20 - 0.5ATR trailing"":108,""Low20 trailing"":108,""MA50 trailing"":108}","{""5D breakout after signal"":89,""First signal"":99,""Signal 2D confirm"":99,""Signal 3D confirm"":81}","{""10"":128,""20"":132,""40"":108}","{""-0.02"":124,""0.0"":124,""0.02"":120}","{""0.05"":124,""0.1"":122,""0.15"":122}",0.358695652173913,broad
C,Joint edge: annual avg_trade_return > 0 and profit_factor > 1.0,100,0.6,8,5,368,61,0.16576086956521738,38,23,56,48,42,24,42,"{""Low10 trailing"":34,""Low20 - 0.5ATR trailing"":9,""Low20 trailing"":9,""MA50 trailing"":9}","{""5D breakout after signal"":6,""First signal"":15,""Signal 2D confirm"":13,""Signal 3D confirm"":27}","{""10"":10,""20"":24,""40"":27}","{""-0.02"":23,""0.0"":23,""0.02"":15}","{""0.05"":21,""0.1"":21,""0.15"":19}",0.5573770491803278,moderate
C,Joint edge: annual avg_trade_return > 0 and profit_factor > 1.0,100,0.7,8,6,368,4,0.010869565217391304,2,2,3,2,0,0,0,"{""Low10 trailing"":4}","{""5D breakout after signal"":2,""Signal 2D confirm"":2}","{""20"":4}","{""-0.02"":2,""0.0"":2}","{""0.05"":2,""0.15"":2}",1.0,very_narrow
C,Joint edge: annual avg_trade_return > 0 and profit_factor > 1.0,100,0.75,8,6,368,4,0.010869565217391304,2,2,3,2,0,0,0,"{""Low10 trailing"":4}","{""5D breakout after signal"":2,""Signal 2D confirm"":2}","{""20"":4}","{""-0.02"":2,""0.0"":2}","{""0.05"":2,""0.15"":2}",1.0,very_narrow
D,Strong joint edge: annual avg_trade_return > 0 and profit_factor >= 1.2,100,0.5,8,4,368,366,0.9945652173913043,243,123,361,337,313,270,313,"{""Low10 trailing"":42,""Low20 - 0.5ATR trailing"":108,""Low20 trailing"":108,""MA50 trailing"":108}","{""5D breakout after signal"":87,""First signal"":99,""Signal 2D confirm"":99,""Signal 3D confirm"":81}","{""10"":126,""20"":132,""40"":108}","{""-0.02"":123,""0.0"":123,""0.02"":120}","{""0.05"":122,""0.1"":122,""0.15"":122}",0.36065573770491804,broad
D,Strong joint edge: annual avg_trade_return > 0 and profit_factor >= 1.2,100,0.6,8,5,368,14,0.03804347826086957,9,5,12,12,12,5,12,"{""Low10 trailing"":2,""Low20 trailing"":6,""MA50 trailing"":6}","{""5D breakout after signal"":2,""Signal 3D confirm"":12}","{""20"":2,""40"":12}","{""-0.02"":5,""0.0"":5,""0.02"":4}","{""0.05"":6,""0.1"":6,""0.15"":2}",0.8571428571428571,very_narrow
D,Strong joint edge: annual avg_trade_return > 0 and profit_factor >= 1.2,100,0.7,8,6,368,0,0.0,0,0,0,0,0,0,0,{},{},{},{},{},0.0,very_narrow
D,Strong joint edge: annual avg_trade_return > 0 and profit_factor >= 1.2,100,0.75,8,6,368,0,0.0,0,0,0,0,0,0,0,{},{},{},{},{},0.0,very_narrow
