date,symbol,open,high,low,close,volume,history_days,dollar_volume,avg_dollar_vol_20,avg_dollar_vol_63,r63,r126,er63,er126,te63,te126,score,surge_ratio,ma50,ma150,hhv126,hhv126_ratio,atr20,atr20_pct,name,exchange,is_etf,is_test_issue,exclude_leveraged,exclude_inverse,exclude_volatility,exclude_single_stock,exclude_option_income,exclude_buffer,exclude_by_name,exclude_reason,aum,asset_group,category,aum_rank,aum_eligible,manual_action,excluded_product_type,base_universe_eligible,dollar_vol_rank,liquidity_eligible,eligible_universe,signal_surge_v0,rank_score
2026-07-07,XLF,56.30500030517578,56.59000015258789,56.08000183105469,56.130001068115234,17127390.0,252,961360418.9940262,1931555943.3529606,1839981905.1738844,0.12924260974532897,0.030696583428837965,0.2913005468488643,0.03262297432443237,0.03764844289498869,0.0010014138530467771,0.024821982730309024,1.655266751883424,52.33857719421387,52.17255874633789,56.59000015258789,0.9918713715633093,0.7601033781405807,0.013541837941855287,State Street Financial Select Sector SPDR ETF,P,True,False,False,False,False,False,False,False,False,,45000000000,equity_sector,financials,10.0,True,,False,True,12.0,True,True,True,10.0
2026-07-07,SOXX,551.8300170898438,558.0,536.1300048828125,555.1500244140625,7574588.0,252,4205032713.126465,6838651568.645215,4853664532.6754265,0.6141053371495611,0.7716721681756413,0.19678516103239038,0.16485811425659103,0.12084681766182676,0.1272164184697312,0.1230761779445933,0.5058112035519757,550.7346264648437,410.2538016764323,655.9500122070312,0.8463297722126512,39.00012542005487,0.07025150626845034,iShares PHLX SOX Semiconductor Sector Index Fund,Q,True,False,False,False,False,False,False,False,False,,15000000000,equity_industry,semiconductor,16.0,True,,False,True,7.0,True,True,False,1.0
2026-07-07,SMH,580.155029296875,585.969970703125,566.8300170898438,584.89501953125,9462200.0,252,5534393653.808594,7731892898.135376,5921619035.292174,0.47708218421016335,0.5668230341749472,0.20340448026516852,0.15673413397002814,0.09704065372303966,0.08884051737567401,0.09417060600146168,0.5519639283058481,584.1151000976563,458.0912141927083,671.8300170898438,0.8705997122082029,33.760006713867185,0.05771977121795861,VanEck Semiconductor ETF,Q,True,False,False,False,False,False,False,False,False,,25000000000,equity_industry,semiconductor,14.0,True,,False,True,4.0,True,True,False,2.0
2026-07-07,XLK,179.83999633789062,180.72000122070312,176.36000061035156,180.6199951171875,6997118.0,252,1263819418.9943848,2533177162.081235,2185725559.799198,0.3220892587770059,0.2547485375009062,0.23456656364125292,0.12342911331040769,0.07555137061708053,0.03144338610086,0.06011357603640335,0.726882992541673,179.41511444091796,154.74029271443686,198.49331469466892,0.909955055136366,6.5197992680909405,0.036096774689097125,State Street Technology Select Sector SPDR ETF,P,True,False,False,False,False,False,False,False,False,,70000000000,equity_sector,technology,7.0,True,,False,True,10.0,True,True,False,3.0
2026-07-07,IWM,299.1700134277344,299.97198486328125,295.17999267578125,297.4399108886719,10968198.0,252,3262379835.729309,8349445286.903043,7784445904.162466,0.18143622918321767,0.20056916263397917,0.2664707772584325,0.1466541580888608,0.0483474530132911,0.029414301684674012,0.041720850048275124,0.9783469893146055,286.99732360839846,266.57395314534506,302.7200012207031,0.9825578412039523,5.750593156721445,0.019333629907096837,iShares Russell 2000 Index Fund,P,True,False,False,False,False,False,False,False,False,,70000000000,equity_broad,small_cap,6.0,True,,False,True,3.0,True,True,False,4.0
2026-07-07,QQQ,714.1400146484375,716.3400268554688,704.9000244140625,713.4299926757812,27274861.0,252,19458703883.46295,36078862278.80907,30727290936.160866,0.21361764644807613,0.16635329652319286,0.2396621493093733,0.11657114520450934,0.051196064278155734,0.019391994284253915,0.040064639780290096,0.8083528781600658,711.1365637207032,644.3882137044271,747.828194840854,0.9540025337338436,18.601347262092126,0.02607312203447763,"Invesco QQQ Trust, Series 1",Q,True,False,False,False,False,False,False,False,False,,330000000000,equity_broad,nasdaq_100,5.0,True,,False,True,2.0,True,True,False,5.0
2026-07-07,VTI,371.30999755859375,371.7499084472656,368.489990234375,370.489990234375,1935142.0,252,716950740.6821289,1271014939.62276,1237674793.4957218,0.1425101744179207,0.10826254363820231,0.3021704656950046,0.12152699997684104,0.04306236577013943,0.013156822138212563,0.032595425498965026,1.1708468104103757,363.6012866210938,344.1047682698568,373.62527593598793,0.9916084753801558,5.2671447267439335,0.014216699143239727,Vanguard Total Stock Market ETF,P,True,False,False,False,False,False,False,False,False,,500000000000,equity_broad,total_market,4.0,True,,False,True,14.0,True,True,False,6.0
2026-07-07,VOO,689.5800170898438,690.22998046875,684.989990234375,688.5399169921875,2819628.0,252,1941426429.0688477,8172845895.057569,5417861005.144841,0.1401341535479923,0.10253825323774834,0.30132222292005184,0.11792531457065111,0.04222553465410091,0.01209185576858656,0.03167874704417089,1.1772621641719485,677.8817724609376,641.5651835123698,697.1199743496946,0.9876921366863559,9.7133572715058,0.014107181053405814,Vanguard S&P 500 ETF,P,True,False,False,False,False,False,False,False,False,,590000000000,equity_broad,broad_us,3.0,True,,False,True,6.0,True,True,False,7.0
2026-07-07,IVV,753.739990234375,754.4349975585938,748.760498046875,752.5349731445312,1589239.0,252,1195957928.1852417,9600282613.095358,5895838605.766066,0.14005416248338176,0.10255894576706859,0.2970623197254109,0.11736987247929209,0.041604814394513,0.012037330386291473,0.03125619499163547,1.178220369979842,740.8707543945312,701.2175793457031,761.953475670844,0.9876390057568535,10.818316294340566,0.014375831928628263,iShares Core S&P 500 ETF,P,True,False,False,False,False,False,False,False,False,,600000000000,equity_broad,broad_us,2.0,True,,False,True,5.0,True,True,False,8.0
2026-07-07,SPY,750.219970703125,750.9600219726562,745.2100219726562,749.0700073242188,21863869.0,252,16377568511.96576,45188681694.86251,39566292817.92006,0.13972618183520158,0.10228906559864792,0.2968572213827089,0.11709639798062114,0.041478726094013076,0.01197768113440514,0.0311533603581503,1.1684425933805143,737.5977416992188,698.1271435546874,758.4461093852723,0.987637747830689,11.109389134121352,0.014830909027856583,State Street SPDR S&P 500 ETF Trust,P,True,False,False,False,False,False,False,False,False,,650000000000,equity_broad,broad_us,1.0,True,,False,True,1.0,True,True,False,9.0
2026-07-07,XLV,164.75,165.60499572753906,164.02000427246094,164.05499267578125,7192755.0,252,1180007368.843689,1752842719.7057648,1512329150.9610713,0.12645968699080679,0.06395680406871262,0.2170867047531894,0.06250156544760486,0.02745271673295402,0.0039974003753202834,0.019243356007782212,2.8830266170433947,149.75991973876953,151.2169487508138,165.60499572753906,0.9906403605462003,2.6640817237983567,0.01623895548892761,State Street Health Care Select Sector SPDR ETF,P,True,False,False,False,False,False,False,False,False,,40000000000,equity_sector,healthcare,11.0,True,,False,True,13.0,True,True,False,11.0
2026-07-07,XLE,53.61000061035156,54.380001068115234,53.599998474121094,53.94499969482422,22653320.0,252,1222033340.4867554,1831866500.2072449,2199449915.1560197,-0.08957713567010994,0.1980073645809841,0.0,0.10642333236530707,-0.0,0.021072603571580605,0.007375411250053211,-0.0,56.53366485595703,53.21288121541341,63.00561722652753,0.8561934962222943,1.1727455280212424,0.021739652139320748,State Street Energy Select Sector SPDR ETF,P,True,False,False,False,False,False,False,False,False,,35000000000,equity_sector,energy,12.0,True,,False,True,9.0,True,True,False,12.0
2026-07-07,HYG,79.8499984741211,79.875,79.7300033569336,79.81500244140625,14689534.0,252,1172445192.07312,2591277894.493907,2913554408.6576443,0.0113571756779971,0.013954592836370239,0.08845304487215686,0.05327396777224109,0.001004576769866846,0.0007434165290395345,0.000913170685577287,0.543288279614259,79.53209396362304,79.08154388427734,79.98920256391311,0.9978222045360726,0.21541228896753423,0.0026988947237791866,iShares iBoxx $ High Yield Corporate Bond ETF,P,True,False,False,False,False,False,False,False,False,,15000000000,bond_credit,high_yield,15.0,True,,False,True,8.0,True,True,False,13.0
2026-07-07,TLT,85.125,85.1677017211914,84.7249984741211,84.75499725341797,11471153.0,252,972237541.0085373,2166669560.921391,2052481828.1832707,-0.014631851825701814,-0.007959005309188583,0.0,0.0,-0.0,-0.0,-0.0,-0.0,85.22963806152343,86.0439111328125,89.53594662916113,0.9466030174948076,0.6438660623309588,0.007596791731416087,iShares 20+ Year Treasury Bond ETF,Q,True,False,False,False,False,False,False,False,False,,50000000000,bond_treasury,long_treasury,9.0,True,,False,True,11.0,True,True,False,14.0
2026-07-07,IEF,93.97000122070312,94.0199966430664,93.83999633789062,93.84500122070312,2451276.0,252,230039999.21228027,611294355.6006057,651338936.5673673,-0.005736849231191998,-0.007448061988481358,0.0,0.0,-0.0,-0.0,-0.0,-0.0,94.01167114257812,94.59713104248047,96.80261949278432,0.969446919023698,0.3634140492428351,0.003872492349253254,iShares 7-10 Year Treasury Bond ETF,Q,True,False,False,False,False,False,False,False,False,,30000000000,bond_treasury,intermediate_treasury,13.0,True,,False,True,15.0,True,True,False,15.0
